"start","end","text"
"881610","884950"," just using n slots of memory, exactly the"
"884950","887130"," size of the number of items in our"
"887130","887450"," structure."
"887830","889310"," But we're obviously not going to use a"
"889310","891990"," regular unsorted array or a regular sorted array."
"892850","894490"," We're going to use array just as sort"
"894490","897630"," of the underlying technology for how things are"
"897630","897930"," stored. "
"897970","901070"," But we'd really like logarithmic performance, which should"
"901070","902130"," make you think tree."
"902670","904250"," Only way to get a log is with"
"904250","905450"," the binary tree, more or less."
"907870","908950"," So tree. "
"909530","913710"," Somehow, we want to embed a tree into"
"913710","914070"," an array."
"914650","916110"," Let me grab an example."
"923620","926300"," Let me draw a tree. "
"944320","946200"," If I got to choose any old tree"
"946200","949320"," I want, I would choose a tree that's"
"949320","951120"," basically perfectly balanced."
"951340","955300"," Perfectly balanced would be like this, where what's"
"955300","955800"," the property?"
"956060","959040"," That I have all of these levels, all"
"959040","961360"," of these depths are completely filled with nodes."
"961600","963060"," This is depth 0."
"965420","967300"," Remember, this is depth 1."
"967660","968780"," This is depth 2."
"969260","970580"," This is depth 3."
"971220","974080"," So what I'd really like is to have"
"974080","979440"," 2 to the i nodes at depth i."
"980520","983820"," That would be a perfect binary tree. "
"984960","987040"," But that only works when n is 1"
"987040","987960"," less than a power of 2."
"988640","991140"," I can't always achieve that for any n."
"991660","993180"," And so the next best thing I could"
"993180","996120"," hope for is 2 to the i nodes"
"996120","998300"," at depth i until the very last i,"
"998400","999320"," the largest depth."
"999980","1002860"," And in that level, I'm still going to"
"1002860","1003560"," restrict things."
"1003660","1005320"," I'm going to force all of the nodes"
"1005320","1006900"," to be as far left as possible. "
"1008600","1013720"," So I want to say, except at max"
"1013720","1023720"," depth, where nodes are, I'll"
"1023720","1024740"," call them, left justified."
"1026020","1033220"," And these two properties together is what I"
"1033220","1035119"," call a complete binary tree."
"1047430","1048770"," Why is this interesting?"
"1049370","1052310"," Because I claim I can represent a tree"
"1052310","1053990"," like this as an array. "
"1055090","1058710"," I've narrowed things down enough that I can"
"1058710","1059910"," draw an array down here."
"1060950","1062750"," And what I'm going to do is write"
"1062750","1064430"," these nodes in depth order."
"1065150","1067050"," So I'll write a first, because that's depth"
"1067050","1067370"," 0."
"1067670","1069650"," Then bc, that's depth 1."
"1070770","1073030"," Then, well, they're alphabetical. "
"1073110","1074090"," I made it that way."
"1076070","1077810"," defg is depth 2."
"1078450","1080650"," And then hij is depth 3."
"1082930","1085590"," This is very different from traversal order of"
"1085590","1085870"," a tree."
"1086270","1088150"," Traversal order would have been h, d, i,"
"1088170","1090510"," b, j, e, a, f, c, g."
"1091290","1093550"," OK, but this is what we might call"
"1093550","1094150"," depth order. "
"1095090","1096730"," Do the lowest depth nodes first."
"1097610","1100030"," Very different way to lay things out or"
"1100030","1102250"," to linearize our data."
"1104090","1106510"," And this is what a heap is going"
"1106510","1107030"," to look like. "
"1107250","1113210"," So the cool thing is, between complete binary"
"1113210","1116190"," trees and arrays is a bijection."
"1116350","1119030"," For every array, there's a unique complete binary"
"1119030","1119410"," tree."
"1119410","1121590"," And for every complete binary tree, there's a"
"1121590","1122150"," unique array. "
"1123270","1123630"," Why?"
"1123890","1128230"," Because the complete constraint forces everything, forces my"
"1128230","1128470"," hand."
"1128590","1130230"," There's only, if I give you a number"
"1130230","1132890"," n, there is one tree shape of size"
"1132890","1133190"," n."
"1133590","1136610"," You just fill in the nodes, top down,"
"1136690","1137750"," until you get to the last level."
"1137830","1138770"," And then you have to fill them in"
"1138770","1141170"," left to right, what you might call reading"
"1141170","1143410"," order for writing down nodes. "
"1143630","1146330"," And the array is telling you which keys"
"1146330","1146770"," go where."
"1147030","1148490"," This is the first node you write down"
"1148490","1148910"," at the root."
"1148910","1150670"," This is the next node you write down"
"1150670","1152230"," at the left child of the root, and"
"1152230","1152650"," so on. "
"1153490","1156090"," So here we have a binary tree represented"
"1156090","1158630"," as an array, or an array representing a"
"1158630","1159150"," binary tree."
"1159510","1162430"," The very specific binary tree, it has a"
"1162430","1165410"," clear advantage, which is it is guaranteed balanced."
"1165550","1168510"," No rotation is necessary in heaps, because complete"
"1168510","1169730"," binary trees are always balanced. "
"1169830","1171370"," In fact, they have the best height they"
"1171370","1175310"," possibly could, which is ceiling of log n."
"1179530","1181310"," Balanced, remember, just meant you were big O"
"1181310","1181830"," of log n."
"1182130","1184270"," This is 1 times log n."
"1184330","1186830"," So it's the best level of balance you"
"1186830","1187330"," could hope for."
"1187750","1191390"," So somehow, I claim, we can maintain a"
"1191390","1194130"," complete binary tree for solving priority queues."
"1194190","1195570"," This would not be possible if you were"
"1195570","1197050"," trying to solve the whole set interface. "
"1197610","1198870"," And that's kind of the cool thing about"
"1198870","1201130"," heaps, is that by just focusing on the"
"1201130","1204550"," subset of the set interface, we can do"
"1204550","1204910"," more."
"1204910","1206970"," We can maintain this very strong property."
"1207730","1209270"," And because we have this very strong property,"
"1209370","1210750"," we don't even need to store this tree. "
"1210890","1212130"," We're not going to store left and right"
"1212130","1213930"," pointers and parent pointers."
"1214150","1215430"," We're just going to store the array."
"1216330","1219090"," This is what we call an implicit data"
"1219090","1228860"," structure, which"
"1228860","1237840"," basically means no pointers, just an array of"
"1237840","1238620"," the n items. "
"1243830","1245330"," How are we going to get away without"
"1245330","1246010"," storing pointers?"
"1246590","1248350"," I'd still like to treat it like a"
"1248350","1248590"," tree."
"1248730","1251150"," I'd still like to know the left child"
"1251150","1252870"," of B is D and the right child"
"1252870","1253750"," of B is E."
"1254050","1255350"," We'll see why in a moment."
"1256310","1261010"," Well, we can do this with index arithmetic. "
"1263410","1266110"," So maybe I should add some labels before"
"1266110","1266550"," I get there."
"1270980","1273560"," So this array naturally has indices."
"1274020","1275160"," This is index 0."
"1276240","1278900"," This is index 1, index 2, index 3,"
"1279320","1282680"," index 4, index 5, index 6, 7, 8,"
"1283040","1286340"," 9, because there are 10 items, 0 through"
"1286340","1286640"," 9."
"1287580","1289360"," And I can apply those labels up here,"
"1289420","1289540"," too. "
"1289620","1290540"," These are the same nodes."
"1290620","1292440"," So 0, 1, 2."
"1292520","1294140"," This is just depth order."
"1296620","1298260"," But once I have this labeling, it's going"
"1298260","1299440"," to be a lot easier to figure things"
"1299440","1299660"," out. "
"1299920","1301160"," So if I wanted to know the left"
"1301160","1303800"," child of B is D, somehow, given the"
"1303800","1306180"," number 1, I want to compute the number"
"1306180","1306520"," 3."
"1306520","1312600"," 3, add 2, multiply by 3."
"1312720","1314280"," There are all sorts of operations that take"
"1314280","1315420"," 1 and turn it into 3."
"1315660","1317240"," But there's only one that's going to work"
"1317240","1318000"," in all cases."
"1318560","1320440"," And the intuition here is, well, I have"
"1320440","1322040"," 2 to the i nodes at level i."
"1322480","1323740"," If I want to go to the child"
"1323740","1325720"," level, there's 2 to the i plus 1"
"1325720","1327760"," nodes down there, exactly double."
"1328260","1329920"," Except the very last one, but that won't"
"1329920","1330860"," really matter. "
"1330960","1332220"," If there is a left child, it will"
"1332220","1332860"," behave the same."
"1333360","1335000"," And so intuitively, I have this space of"
"1335000","1335700"," size 2 to the i."
"1335700","1337140"," I have to expand it to a space"
"1337140","1338840"," of size 2 to the i plus 1."
"1339260","1340980"," So I should multiply by 2."
"1342240","1343520"," And that's almost right."
"1343780","1345880"," But then there's some constants. "
"1346860","1348880"," So I'd like to say 2 times i."
"1349360","1351500"," But if we look at the examples here,"
"1351900","1354620"," 1 times 2 is 2, which is 1"
"1354620","1355200"," less than 3."
"1355980","1357780"," 2 times 2 is 4, which is 1"
"1357780","1358300"," less than 5."
"1358360","1359640"," Hey, we almost got it right."
"1359680","1360480"," It's just off by 1."
"1364440","1367120"," 1 is index errors are the most common"
"1367120","1368220"," things in computer science."
"1370560","1371740"," What about the right child?"
"1374070","1375510"," If the left child is a 2i plus"
"1375510","1376490"," 1, where's the right child?"
"1379540","1380380"," I hear lots of mumbles. "
"1380480","1381280"," 2i plus 2."
"1383120","1383800"," One more."
"1383940","1385540"," Because we're writing things left to right in"
"1385540","1388300"," depth order, the right child is the right"
"1388300","1389620"," sibling of the left child."
"1389640","1390980"," So it's just one larger. "
"1391780","1395420"," Given those rules, we can also compute parent."
"1395780","1398380"," It's just whatever is the inverse of both"
"1398380","1402960"," of these functions, which I want to divide"
"1402960","1404380"," by 2 at some point."
"1404960","1406840"," But I want to get back to i"
"1406840","1408720"," given 2i plus 1 or given 2i plus"
"1408720","1408980"," 2."
"1409460","1414680"," And so if I subtract 1 from i,"
"1415840","1417560"," then I either get 2i or 2i plus"
"1417560","1417820"," 1."
"1418060","1420000"," And then if I take an integer division"
"1420000","1423260"," by 2, I get i, the original i."
"1423640","1425780"," Sorry, maybe I'll call this j to be"
"1425780","1426080"," clearer. "
"1426700","1428820"," So j is the left or right child."
"1429380","1431520"," Then I can reconstruct i, which was the"
"1431520","1431760"," parent."
"1433020","1436000"," So this is a constant number arithmetic operation. "
"1436160","1438160"," So I don't have to store left and"
"1438160","1438540"," right pointers."
"1438620","1440100"," I can just compute them whenever I need"
"1440100","1440300"," them."
"1440420","1443300"," Whenever I'm at some node like E, and"
"1443300","1444660"," I want to know what's its left child,"
"1445500","1448800"," sorry, given the node index 4, which happens"
"1448800","1451560"," to contain the item E, and I want"
"1451560","1452760"," to know what's its left child, I just"
"1452760","1453780"," multiply by 2 and add 1."
"1453840","1454360"," I get 9."
"1454880","1456600"," Then I can index into this array at"
"1456600","1458640"," position 9, because this is just in my"
"1458640","1458920"," head. "
"1459000","1461920"," Remember, we're just thinking that there's a tree"
"1461920","1462220"," here."
"1462520","1464800"," But in reality, on the computer, there's just"
"1464800","1465220"," the array."
"1466160","1467780"," So if we want to go from E"
"1467780","1469820"," to j, we can, from 4 to 9."
"1470400","1472040"," If we try to go to the right"
"1472040","1474540"," child, we multiply by 2, 8, add 2,"
"1474740","1475060"," 10. "
"1475380","1476920"," And we see, oh, 10 is beyond the"
"1476920","1477520"," end of the array."
"1477800","1479080"," But our array stores its size."
"1479140","1480720"," So we realize, oh, E does not have"
"1480720","1481260"," a right child. "
"1481900","1483600"," This is something you can only do in"
"1483600","1484540"," a complete binary tree."
"1485000","1486660"," In a general binary tree, you don't have"
"1486660","1487400"," these nice properties."
"1489660","1490100"," Cool. "
"1491200","1493860"," So this is basically a heap."
"1493920","1495860"," I just need to add one more property,"
"1498350","1499930"," naturally, called the heap property."
"1506200","1509300"," So there are multiple types of heaps. "
"1509520","1511120"," This type of heap is called a binary"
"1511120","1511420"," heap."
"1511840","1513760"," We will talk about others in future lectures."
"1514580","1515760"," I'm going to call it Q."
"1518080","1527900"," Maybe I should write the explicit"
"1527900","1528300"," thing. "
"1528580","1533260"," This is an array representing a complete binary"
"1533260","1548660"," tree called the"
"1548660","1549160"," array Q."
"1549540","1557680"," And we want every node to satisfy"
"1557680","1576970"," the so-called max heap property, which"
"1576970","1580870"," says Q of i is greater than or"
"1580870","1585490"," equal to Q of j for both children"
"1585490","1589830"," left of i and right of i."
"1598040","1603180"," So we have a node, i, and has"
"1603180","1606440"," two children, 2i plus 1 and 2i plus"
"1606440","1606720"," 2."
"1607940","1610200"," These are our two values of j."
"1613080","1615920"," What we want is a greater than or"
"1615920","1618740"," equal to relation here and here."
"1619900","1621520"," So this node should be bigger than both"
"1621520","1622300"," this one and this one."
"1622500","1623520"," Which of these is larger?"
"1623780","1624440"," We don't know. "
"1624540","1625340"," And we don't care."
"1626120","1628740"," Very different from binary search trees or set"
"1628740","1631300"," binary trees, where we said these guys were"
"1631300","1632680"," less than or equal to this one."
"1632940","1634080"," This one was less than or equal to"
"1634080","1635220"," all the nodes in the subtree. "
"1635220","1637300"," Here, we're just locally saying this node is"
"1637300","1639160"," greater than or equal to this node and"
"1639160","1639640"," this node."
"1640060","1641700"," So the biggest is at the top."
"1645880","1650980"," So one nice lemma about these heaps, this"
"1650980","1651600"," is weird. "
"1653660","1655240"," Let me give you some more intuition."
"1656460","1658260"," If you are a binary heap, if you"
"1658260","1660960"," satisfy this max heap property everywhere, then, in"
"1660960","1664960"," fact, you learn that every node i is"
"1664960","1667620"," greater than or equal to all nodes in"
"1667620","1668120"," its subtree."
"1668260","1675140"," These are what we call descendants and subtree"
"1675140","1675700"," of i."
"1680100","1683040"," Let me look at this example. "
"1683300","1685000"," So I haven't written any numbers here, but"
"1685000","1685760"," you can imagine."
"1686400","1689040"," So a here is greater than or equal"
"1689040","1690100"," to both b and c."
"1690760","1692000"," And b is greater than or equal to"
"1692000","1692580"," d and e."
"1692580","1694020"," And c is greater than or equal to"
"1694020","1694580"," f and g."
"1695000","1695820"," And d is greater than or equal to"
"1695820","1696300"," h and i."
"1696340","1697240"," And e is greater than or equal to"
"1697240","1697440"," j."
"1697600","1700200"," That would make this structure a heap, not"
"1700200","1701320"," just a complete binary tree."
"1703400","1704520"," So what does that imply?"
"1704640","1706580"," It implies that a must be the maximum. "
"1707200","1708600"," So you look at any node here, like"
"1708600","1710860"," j, a is greater than or equal to"
"1710860","1712140"," b, is greater than or equal to e,"
"1712200","1713220"," is greater than or equal to j."
"1714300","1716160"," And in general, what we're saying is that"
"1716160","1717800"," a is greater than or equal to all"
"1717800","1718440"," nodes in the tree."
"1718780","1719940"," b is greater than or equal to all"
"1719940","1721700"," nodes in its subtree, down here."
"1722380","1723400"," c is greater than or equal to all"
"1723400","1724200"," nodes in its subtree. "
"1724540","1726100"," That's what this lemma is saying."
"1726940","1729360"," You can prove this lemma by induction."
"1730680","1732640"," But it's really simple. "
"1734980","1736740"," If you have two nodes, i and j,"
"1736840","1738940"," and j is somewhere in the subtree, that"
"1738940","1743100"," means there's some downward path from i to"
"1743100","1743400"," j."
"1743740","1745620"," And you know that for every edge we"
"1745620","1748200"," traverse on a downward path, our key is"
"1748200","1750200"," going down non-strictly."
"1750700","1752160"," Every child is less than or equal to"
"1752160","1752620"," its parent."
"1753080","1754060"," i is greater than or equal to this,"
"1754100","1755040"," is greater than or equal to this, is"
"1755040","1755840"," greater than or equal to this, is greater"
"1755840","1756440"," than or equal to j."
"1757760","1761120"," So by transitivity of less than or equal"
"1761120","1763060"," to, you know that i is, in fact,"
"1763120","1764200"," greater than or equal to j."
"1764740","1766880"," Or sorry, the key in i is greater"
"1766880","1768300"," than or equal to the key in j."
"1768820","1770700"," This is what we're calling i, the index. "
"1770840","1772800"," This is what we would call q of"
"1772800","1773120"," i."
"1774120","1776920"," This is index j, q of j."
"1779420","1779900"," OK."
"1779980","1784780"," Very different way to organize keys in a"
"1784780","1784980"," tree."
"1786420","1789320"," But as you might imagine, this is going"
"1789320","1791080"," to be good for priority queues, because priority"
"1791080","1793460"," queues just need to find the maximum element. "
"1794520","1795580"," Then they need to delete it."
"1795620","1797260"," That's going to be harder, because deleting the"
"1797260","1798980"," root is like, that's the hardest node. "
